w1,w2,rel_freq
abaissiez,votre,1.0
abash,d,1.0
abatements,and,1.0
abates,the,1.0
abbeys,and,1.0
abbominable,it,1.0
abbots,imprisoned,1.0
abbreviated,ne,1.0
aberga,ny,1.0
abet,him,1.0
abetting,him,1.0
abhominable,which,1.0
abjects,and,1.0
abjur,d,1.0
abler,than,1.0
abodements,must,1.0
aboding,luckless,1.0
abominations,turns,1.0
abortives,presages,1.0
abounding,valour,1.0
abreast,keep,1.0
abridg,d,1.0
abrogate,scurrility,1.0
abrupt,departure,1.0
abruptly,as,1.0
absey,book,1.0
absolv,d,1.0
absolver,and,1.0
abstains,from,1.0
absyrtus,did,1.0
abundantly,they,1.0
abus,d,1.0
abuser,of,1.0
abutting,fronts,1.0
aby,it,1.0
acceptable,audit,1.0
accepts,of,1.0
accessible,is,1.0
accited,home,1.0
accites,your,1.0
acclamations,hyperbolical,1.0
accommodation,and,1.0
accommodations,that,1.0
accommodo,very,1.0
accompanying,his,1.0
accomplished,in,1.0
accomplishing,the,1.0
accomplishment,of,1.0
accordant,he,1.0
accordeth,with,1.0
