w1,w2,pmi,count
l,envoy,4.540248931571097,16
milford,haven,4.434166930415811,11
dramatis,personae,4.345674266821402,36
boist,rous,4.299916776260727,10
desp,rate,4.258524091102502,10
le,beau,4.123825517205046,22
willow,willow,4.106096750244614,10
wat,ry,4.091640833833645,13
threat,ning,3.9409746745020677,17
murd,rous,3.878911463519996,11
william,shakespeare,3.8085550824264542,38
saint,albans,3.7913870572894406,19
ta,en,3.7301118050897926,95
pow,rs,3.698422641015296,24
stol,n,3.6932804045267384,59
pow,r,3.643789523478166,33
alarum,excursions,3.6352748007046016,10
flow,rs,3.553888348343615,18
friar,laurence,3.5453136476518727,18
ev,n,3.5321752128788475,19
thomas,lovell,3.493312893524879,12
la,pucelle,3.4870034196178716,24
trumpet,sounds,3.4217644358918853,14
hugh,evans,3.3954717351838175,14
encount,red,3.3748626559488843,15
ent,red,3.3437901229468507,23
ling,ring,3.342269588931239,12
count,rousillon,3.3342448050406204,10
don,pedro,3.3314338277067916,20
mrs,overdone,3.328640927522622,15
chief,justice,3.322664023859838,68
act,sc,3.2981560290291148,32
rememb,red,3.2956814099012597,25
county,paris,3.2707359873531803,10
speed,item,3.2608527534210845,17
charmian,iras,3.2514749727103225,10
saint,george,3.2350845565221533,20
thomas,mowbray,3.2073715686551205,10
fourth,citizen,3.2036472482256655,19
e,en,3.203180515798258,35
wand,ring,3.193616578222497,14
signior,benedick,3.188066413459734,18
chamber,window,3.1440289032933326,11
fie,fie,3.1397191826354987,41
titus,lartius,3.131585057507286,16
afar,off,3.1315579674357363,17
alack,alack,3.1177875622077287,10
howe,er,3.1060967502446144,12
whoe,er,3.1060967502446144,10
whate,er,3.106096750244614,26
alexandria,cleopatra,3.0982714127326574,11
ne,er,3.0904448047018183,218
jack,cade,3.065652651881938,13
thousand,ducats,3.0637575456810637,25
mrs,ford,3.057872536891176,90
music,plays,3.0504126853252007,10
murd,red,3.0460035664201457,12
act,v,3.0408290681569055,51
trumpets,sound,3.0269618314125544,25
julius,caesar,3.0089287188908864,14
harry,percy,2.980940920664084,12
market,place,2.978819132744258,18
scene,vii,2.977153593563546,19
mrs,page,2.9634754038742828,109
signior,gremio,2.953983207426366,14
scene,vi,2.95200533834656,26
five,hundred,2.933219209805306,17
e,er,2.9281768801425248,79
ten,times,2.9250606514978914,34
knocking,within,2.9219466463217154,17
white,rose,2.905114999098016,10
caius,marcius,2.9015426901093706,19
act,iv,2.8949121112103575,45
queen,elizabeth,2.8848651370632026,112
humbly,thank,2.878748523544039,17
cam,st,2.874627159813933,29
mak,st,2.874627159813933,22
com,st,2.874627159813933,21
gav,st,2.874627159813933,14
fall,n,2.873405514896152,53
scene,ii,2.8598555630447793,124
seven,years,2.851983910668547,12
robert,shallow,2.846904385139272,10
thousand,crowns,2.842391077604445,17
doctor,caius,2.8389900354450206,13
tak,st,2.8368385989245333,11
thousand,pound,2.8337909058425277,15
scene,iii,2.829288061732218,98
duke,senior,2.8259191718258636,35
third,citizen,2.824857593648854,38
thousand,marks,2.82189168254282,10
act,iii,2.816329479291833,45
titus,andronicus,2.8107896050871775,11
ha,ha,2.801770385951404,42
dar,st,2.800525439295583,43
ten,thousand,2.7908263154660227,39
who,chooseth,2.789371766054115,11
foul,fiend,2.7612687928529653,11
eldest,son,2.7588057743885113,14
three,months,2.749744034254035,11
