w1,w2,rel_freq,count
ne,er,1.0,58
ta,en,1.0,24
able,to,1.0,10
market,place,1.0,10
stabb,d,1.0,10
stopp,d,1.0,9
wont,to,1.0,9
whate,er,1.0,8
bottom,of,1.0,6
scatter,d,1.0,6
abhorr,d,1.0,5
alban,s,1.0,5
begg,d,1.0,5
smother,d,1.0,5
stol,n,1.0,5
unlook,d,1.0,5
fruits,of,1.0,4
ink,and,1.0,4
kites,and,1.0,4
looker,on,1.0,4
marr,d,1.0,4
stirr,d,1.0,4
apparell,d,1.0,3
applause,and,1.0,3
aqua,vitae,1.0,3
broach,d,1.0,3
celsa,senis,1.0,3
cleomenes,and,1.0,3
commune,with,1.0,3
compell,d,1.0,3
congeal,d,1.0,3
cropp,d,1.0,3
crosby,place,1.0,3
depth,of,1.0,3
dropp,d,1.0,3
hatch,d,1.0,3
height,of,1.0,3
howe,er,1.0,3
interchange,of,1.0,3
irish,wars,1.0,3
julius,caesar,1.0,3
line,of,1.0,3
luke,s,1.0,3
proffer,d,1.0,3
revell,d,1.0,3
sayest,thou,1.0,3
shunn,d,1.0,3
shuts,up,1.0,3
siege,of,1.0,3
sigeia,tellus,1.0,3
